CAAProjectId,Title,Trait,imdb_id,ProjectType
3F7FC06A-1C19-4BDB-9FBF-B63987236FDA,The Goldfinch,Drug Addiction,tt3864056,Non-Episodic
AD0AA3B0-E728-4DCC-A7FA-AD50386D97F0,Flight,Drug Addiction,tt1907668,Non-Episodic
B85489FE-A431-4FDA-B5D3-E9D0A7691F18,Across the Universe,Rock & Roll Music,tt0445922,Non-Episodic
0982D171-0C58-450F-B22D-C8A4391F05B8,Boogie Nights,Drug Addiction,tt0118749,Non-Episodic
97A7F9AB-4F75-485D-92B6-CF49C9D2F7D7,Gringo,Drug Trade,tt3721964,Non-Episodic
03C77C1B-3D70-4F51-8BDD-0A0CBBC35188,Traffic,Drug Trade,tt0181865,Non-Episodic
7C2DA18E-C829-4B5F-AAF6-BE7EB4E23880,Malcolm & Marie,Passionate,tt12676326,Non-Episodic
9085DA24-5C39-4A18-A836-4B9F336CABD0,Dreamgirls,Low Self-Esteem,tt0443489,Non-Episodic
59778843-6D37-47F9-8977-DC2815C57809,Ibiza,Adventure,tt3685236,Non-Episodic
08072746-1520-4961-B0FF-7E1004B85273,Sicario: Day of the Soldado,Drug Trade,tt5052474,Non-Episodic
37916BA3-5C68-4803-9B90-CCD5248E02C8,Casino,Voice Over,tt0112641,Non-Episodic
C9CA1067-D383-4A9A-BAF4-5141675EE37D,All Day and a Night,Flashback,tt3993886,Non-Episodic
F7818A5C-12F0-406C-A085-F6F6D197CAEE,Inherent Vice,Voice Over,tt1791528,Non-Episodic
8B5521B0-2183-4CB3-8927-D416C9E7F7C0,Crisis,Drug Trade,tt9731682,Non-Episodic
1F94E4DF-B4D2-4170-9173-4E2355E351F9,Foxcatcher,Low Self-Esteem,tt1100089,Non-Episodic
948DCBB6-3C25-4901-984D-6592171A3C63,Molly's Game,Flashback,tt4209788,Non-Episodic
022A899F-34F6-42FE-BC2D-57C0DFAD170B,Flashback,Flashback,tt8372094,Non-Episodic
64C7AD5D-BB28-4C61-B508-C78C71546623,The Wolf of Wall Street,Financial Crisis,tt0993846,Non-Episodic
455749A7-0417-4D0E-A070-E9D38C3DE449,Bringing Out the Dead,Voice Over,tt0163988,Non-Episodic
04BAE5AA-3FBE-4D65-BA1E-42F4E5458331,The Cabin in the Woods,Friends,tt1259521,Non-Episodic
944B3C40-EC9C-49D7-A242-8DF8BA4E90CF,Rust Creek,Drug Trade,tt6610158,Non-Episodic
807C20B7-1A98-4FE5-B3D5-C313B08064B1,Walk the Line,Rock & Roll Music,tt0358273,Non-Episodic
3C5E49C4-A238-4452-A016-463660A92EB0,Instant Family,Slapstick Violence,tt7401588,Non-Episodic
