Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,-1.8103410298247713
75% Corpus,2,0.01,0.31,-1.8148605524030303
75% Corpus,2,0.01,0.61,-1.7918288334968846
75% Corpus,2,0.01,0.9099999999999999,-1.7653257432564997
75% Corpus,2,0.01,symmetric,-1.8138194810344777
75% Corpus,2,0.31,0.01,-1.7814060583165796
75% Corpus,2,0.31,0.31,-1.807972134242741
75% Corpus,2,0.31,0.61,-1.8009512653319906
75% Corpus,2,0.31,0.9099999999999999,-1.8011891343586557
75% Corpus,2,0.31,symmetric,-1.8018916224221382
75% Corpus,2,0.61,0.01,-1.7744635875012365
75% Corpus,2,0.61,0.31,-1.7782671576064213
75% Corpus,2,0.61,0.61,-1.7743470034957105
75% Corpus,2,0.61,0.9099999999999999,-1.7757568880764705
75% Corpus,2,0.61,symmetric,-1.7742368039282717
75% Corpus,2,0.9099999999999999,0.01,-1.7787557105574225
75% Corpus,2,0.9099999999999999,0.31,-1.7827207373448253
75% Corpus,2,0.9099999999999999,0.61,-1.7770875099651544
75% Corpus,2,0.9099999999999999,0.9099999999999999,-1.8050167539246214
75% Corpus,2,0.9099999999999999,symmetric,-1.7776819959694077
75% Corpus,2,symmetric,0.01,-1.774390294099486
75% Corpus,2,symmetric,0.31,-1.7761981871167087
75% Corpus,2,symmetric,0.61,-1.7766196099039115
75% Corpus,2,symmetric,0.9099999999999999,-1.7752685854559953
75% Corpus,2,symmetric,symmetric,-1.7758651565602919
75% Corpus,2,asymmetric,0.01,-1.751838608971239
75% Corpus,2,asymmetric,0.31,-1.7891918651663787
75% Corpus,2,asymmetric,0.61,-1.7308678977551004
75% Corpus,2,asymmetric,0.9099999999999999,-1.7330759909216582
75% Corpus,2,asymmetric,symmetric,-1.7725034184464534
75% Corpus,3,0.01,0.01,-1.7839406389207546
75% Corpus,3,0.01,0.31,-1.7772781942045583
75% Corpus,3,0.01,0.61,-1.7785617629435109
75% Corpus,3,0.01,0.9099999999999999,-1.772067501676454
75% Corpus,3,0.01,symmetric,-1.7790082544358201
75% Corpus,3,0.31,0.01,-1.7734606764301428
75% Corpus,3,0.31,0.31,-1.7883144273220626
75% Corpus,3,0.31,0.61,-1.8688938292911927
75% Corpus,3,0.31,0.9099999999999999,-1.8568616209482922
75% Corpus,3,0.31,symmetric,-1.8674578450232182
75% Corpus,3,0.61,0.01,-1.780774236712294
75% Corpus,3,0.61,0.31,-1.7566203648469176
75% Corpus,3,0.61,0.61,-1.8207723734290309
75% Corpus,3,0.61,0.9099999999999999,-1.866144877380081
75% Corpus,3,0.61,symmetric,-1.7579725287365486
75% Corpus,3,0.9099999999999999,0.01,-1.7333529272605244
75% Corpus,3,0.9099999999999999,0.31,-1.745104266033258
75% Corpus,3,0.9099999999999999,0.61,-1.763236554701832
75% Corpus,3,0.9099999999999999,0.9099999999999999,-1.879942112731511
75% Corpus,3,0.9099999999999999,symmetric,-1.7470887860148594
75% Corpus,3,symmetric,0.01,-1.774291346945292
75% Corpus,3,symmetric,0.31,-1.786924854352895
75% Corpus,3,symmetric,0.61,-1.865619746435053
75% Corpus,3,symmetric,0.9099999999999999,-1.8275296846798235
75% Corpus,3,symmetric,symmetric,-1.7856519794821037
75% Corpus,3,asymmetric,0.01,-1.7573336557659338
75% Corpus,3,asymmetric,0.31,-1.7703929550234072
75% Corpus,3,asymmetric,0.61,-2.2096658285014574
75% Corpus,3,asymmetric,0.9099999999999999,-2.0281256282856353
75% Corpus,3,asymmetric,symmetric,-1.8327212814176639
75% Corpus,4,0.01,0.01,-1.8059531161517683
75% Corpus,4,0.01,0.31,-1.8079288606728872
75% Corpus,4,0.01,0.61,-1.8431226768808573
75% Corpus,4,0.01,0.9099999999999999,-1.852940256323215
75% Corpus,4,0.01,symmetric,-1.8004480158890752
75% Corpus,4,0.31,0.01,-1.7782196481135035
75% Corpus,4,0.31,0.31,-1.8594747731165966
75% Corpus,4,0.31,0.61,-1.8973963176200639
75% Corpus,4,0.31,0.9099999999999999,-2.165282050513871
75% Corpus,4,0.31,symmetric,-1.8450283008200508
75% Corpus,4,0.61,0.01,-1.782060909352953
75% Corpus,4,0.61,0.31,-1.8178881037810868
75% Corpus,4,0.61,0.61,-1.9322235852883933
75% Corpus,4,0.61,0.9099999999999999,-1.8980368268640737
75% Corpus,4,0.61,symmetric,-1.8135881075480587
75% Corpus,4,0.9099999999999999,0.01,-1.8010829299644453
75% Corpus,4,0.9099999999999999,0.31,-1.8443231537714537
75% Corpus,4,0.9099999999999999,0.61,-1.8466959759856967
75% Corpus,4,0.9099999999999999,0.9099999999999999,-1.8881076515269042
75% Corpus,4,0.9099999999999999,symmetric,-1.7967233435191814
75% Corpus,4,symmetric,0.01,-1.77864941781468
75% Corpus,4,symmetric,0.31,-1.8643167804403347
75% Corpus,4,symmetric,0.61,-1.9616115471689102
75% Corpus,4,symmetric,0.9099999999999999,-1.9384948695368167
75% Corpus,4,symmetric,symmetric,-1.8342725513973506
75% Corpus,4,asymmetric,0.01,-1.7641188277648465
75% Corpus,4,asymmetric,0.31,-1.7487510940353899
75% Corpus,4,asymmetric,0.61,-2.4585133081100214
75% Corpus,4,asymmetric,0.9099999999999999,-2.972021300878429
75% Corpus,4,asymmetric,symmetric,-1.7503130239803657
75% Corpus,5,0.01,0.01,-1.7902779066884764
75% Corpus,5,0.01,0.31,-1.8391176258860906
75% Corpus,5,0.01,0.61,-2.29931331427726
75% Corpus,5,0.01,0.9099999999999999,-2.244168598048147
75% Corpus,5,0.01,symmetric,-1.7887577673994812
75% Corpus,5,0.31,0.01,-1.7835309891825595
75% Corpus,5,0.31,0.31,-2.289126820723673
75% Corpus,5,0.31,0.61,-2.353263044162682
75% Corpus,5,0.31,0.9099999999999999,-2.603705571268108
75% Corpus,5,0.31,symmetric,-1.878392267850284
75% Corpus,5,0.61,0.01,-1.7833233543441362
75% Corpus,5,0.61,0.31,-1.8570455509067383
75% Corpus,5,0.61,0.61,-2.2938700218320314
75% Corpus,5,0.61,0.9099999999999999,-2.556235373369241
75% Corpus,5,0.61,symmetric,-1.8393855629336826
75% Corpus,5,0.9099999999999999,0.01,-1.8193189609049711
75% Corpus,5,0.9099999999999999,0.31,-1.8486030640403641
75% Corpus,5,0.9099999999999999,0.61,-1.8635823943348329
75% Corpus,5,0.9099999999999999,0.9099999999999999,-1.8274320800902182
75% Corpus,5,0.9099999999999999,symmetric,-1.8165836187944635
75% Corpus,5,symmetric,0.01,-1.80416580573915
75% Corpus,5,symmetric,0.31,-2.2532865047136945
75% Corpus,5,symmetric,0.61,-2.262867777357301
75% Corpus,5,symmetric,0.9099999999999999,-2.5377713283343435
75% Corpus,5,symmetric,symmetric,-1.7735942508703069
75% Corpus,5,asymmetric,0.01,-1.883527901566349
75% Corpus,5,asymmetric,0.31,-2.6452050002893674
75% Corpus,5,asymmetric,0.61,-4.416373296746977
75% Corpus,5,asymmetric,0.9099999999999999,-5.312609982749299
75% Corpus,5,asymmetric,symmetric,-2.300915198793035
75% Corpus,6,0.01,0.01,-2.005841352752151
75% Corpus,6,0.01,0.31,-1.893670118430428
75% Corpus,6,0.01,0.61,-2.332107450570305
75% Corpus,6,0.01,0.9099999999999999,-2.7042901598710745
75% Corpus,6,0.01,symmetric,-1.9181934110015824
75% Corpus,6,0.31,0.01,-1.9892070974598806
75% Corpus,6,0.31,0.31,-2.049684197829491
75% Corpus,6,0.31,0.61,-2.210876631427247
75% Corpus,6,0.31,0.9099999999999999,-3.5856964472634707
75% Corpus,6,0.31,symmetric,-2.0376228428424987
75% Corpus,6,0.61,0.01,-1.9159974779382776
75% Corpus,6,0.61,0.31,-1.954210046947626
75% Corpus,6,0.61,0.61,-2.212926849727548
75% Corpus,6,0.61,0.9099999999999999,-2.2284676432819333
75% Corpus,6,0.61,symmetric,-1.9585538508140807
75% Corpus,6,0.9099999999999999,0.01,-1.8040602355191255
75% Corpus,6,0.9099999999999999,0.31,-1.830164204954105
75% Corpus,6,0.9099999999999999,0.61,-1.8429458818409434
75% Corpus,6,0.9099999999999999,0.9099999999999999,-1.8435837003222204
75% Corpus,6,0.9099999999999999,symmetric,-1.794962461401801
75% Corpus,6,symmetric,0.01,-2.0061041416899603
75% Corpus,6,symmetric,0.31,-2.001544181453746
75% Corpus,6,symmetric,0.61,-2.035354786806133
75% Corpus,6,symmetric,0.9099999999999999,-3.187537728304949
75% Corpus,6,symmetric,symmetric,-1.9874175886023904
75% Corpus,6,asymmetric,0.01,-2.086945184375713
75% Corpus,6,asymmetric,0.31,-2.9155706307171108
75% Corpus,6,asymmetric,0.61,-4.528802389845816
75% Corpus,6,asymmetric,0.9099999999999999,-4.938856555686297
75% Corpus,6,asymmetric,symmetric,-2.3265653977404184
75% Corpus,7,0.01,0.01,-1.985429154769869
75% Corpus,7,0.01,0.31,-1.9716515525177143
75% Corpus,7,0.01,0.61,-1.9762669127606964
75% Corpus,7,0.01,0.9099999999999999,-2.0197242033568967
75% Corpus,7,0.01,symmetric,-1.940383868624448
75% Corpus,7,0.31,0.01,-2.0340637444416614
75% Corpus,7,0.31,0.31,-1.9806162751395973
75% Corpus,7,0.31,0.61,-2.8836329604142503
75% Corpus,7,0.31,0.9099999999999999,-3.006275180680771
75% Corpus,7,0.31,symmetric,-2.0009846774967484
75% Corpus,7,0.61,0.01,-1.9605905912544574
75% Corpus,7,0.61,0.31,-1.97385949193691
75% Corpus,7,0.61,0.61,-2.5008995346768472
75% Corpus,7,0.61,0.9099999999999999,-2.0372659418568007
75% Corpus,7,0.61,symmetric,-1.9250700815482698
75% Corpus,7,0.9099999999999999,0.01,-1.8902441686302502
75% Corpus,7,0.9099999999999999,0.31,-1.8466584312438052
75% Corpus,7,0.9099999999999999,0.61,-1.8120790122707733
75% Corpus,7,0.9099999999999999,0.9099999999999999,-1.8161146420683292
75% Corpus,7,0.9099999999999999,symmetric,-1.9294081202152102
75% Corpus,7,symmetric,0.01,-1.9521049116547418
75% Corpus,7,symmetric,0.31,-2.0282036026253345
75% Corpus,7,symmetric,0.61,-2.5377948520797573
75% Corpus,7,symmetric,0.9099999999999999,-2.75592680037698
75% Corpus,7,symmetric,symmetric,-2.0334090368512543
75% Corpus,7,asymmetric,0.01,-1.952723114924488
75% Corpus,7,asymmetric,0.31,-3.512190430935447
75% Corpus,7,asymmetric,0.61,-6.248739379153426
75% Corpus,7,asymmetric,0.9099999999999999,-6.691493925511695
75% Corpus,7,asymmetric,symmetric,-2.035540878867162
75% Corpus,8,0.01,0.01,-1.8800275134083262
75% Corpus,8,0.01,0.31,-2.064904292823413
75% Corpus,8,0.01,0.61,-2.26127861395568
75% Corpus,8,0.01,0.9099999999999999,-3.1884491622598983
75% Corpus,8,0.01,symmetric,-1.9429912091017891
75% Corpus,8,0.31,0.01,-2.095010760504205
75% Corpus,8,0.31,0.31,-2.505595466196061
75% Corpus,8,0.31,0.61,-3.753056406366402
75% Corpus,8,0.31,0.9099999999999999,-3.8751297738581925
75% Corpus,8,0.31,symmetric,-2.182549129171788
75% Corpus,8,0.61,0.01,-1.9243041800374618
75% Corpus,8,0.61,0.31,-2.3308762980335396
75% Corpus,8,0.61,0.61,-2.3984574379073815
75% Corpus,8,0.61,0.9099999999999999,-1.9490950505104583
75% Corpus,8,0.61,symmetric,-1.9372629538351418
75% Corpus,8,0.9099999999999999,0.01,-1.8915567601319876
75% Corpus,8,0.9099999999999999,0.31,-1.8584139878960384
75% Corpus,8,0.9099999999999999,0.61,-1.838750086324999
75% Corpus,8,0.9099999999999999,0.9099999999999999,-1.8057778418404902
75% Corpus,8,0.9099999999999999,symmetric,-1.8918531098561626
75% Corpus,8,symmetric,0.01,-1.975608730120809
75% Corpus,8,symmetric,0.31,-2.120125932332352
75% Corpus,8,symmetric,0.61,-2.740080278202317
75% Corpus,8,symmetric,0.9099999999999999,-3.3990123623865283
75% Corpus,8,symmetric,symmetric,-1.9412089430283017
75% Corpus,8,asymmetric,0.01,-2.091706273693474
75% Corpus,8,asymmetric,0.31,-4.835283560660939
