Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.4349326820605799
100% Corpus,2,0.01,0.31,0.43375995923818866
100% Corpus,2,0.01,0.61,0.4396643199869714
100% Corpus,2,0.01,0.9099999999999999,0.4393401946447611
100% Corpus,2,0.01,symmetric,0.44258787440928027
100% Corpus,2,0.31,0.01,0.41978065534810816
100% Corpus,2,0.31,0.31,0.4286195403558606
100% Corpus,2,0.31,0.61,0.44626845563523737
100% Corpus,2,0.31,0.9099999999999999,0.4374816940852795
100% Corpus,2,0.31,symmetric,0.4352376174038426
100% Corpus,2,0.61,0.01,0.43288539529188
100% Corpus,2,0.61,0.31,0.43180220592615526
100% Corpus,2,0.61,0.61,0.45385174765225
100% Corpus,2,0.61,0.9099999999999999,0.4438865979559583
100% Corpus,2,0.61,symmetric,0.4375825748041362
100% Corpus,2,0.9099999999999999,0.01,0.45527133403001463
100% Corpus,2,0.9099999999999999,0.31,0.4444847018864201
100% Corpus,2,0.9099999999999999,0.61,0.4318605652438226
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.43825070814889266
100% Corpus,2,0.9099999999999999,symmetric,0.44276031019277173
100% Corpus,2,symmetric,0.01,0.4365095143393106
100% Corpus,2,symmetric,0.31,0.42205971205229653
100% Corpus,2,symmetric,0.61,0.4349811698825635
100% Corpus,2,symmetric,0.9099999999999999,0.4514751211951007
100% Corpus,2,symmetric,symmetric,0.43509014691719783
100% Corpus,3,0.01,0.01,0.44252570145021064
100% Corpus,3,0.01,0.31,0.4223994290238497
100% Corpus,3,0.01,0.61,0.40949981948777436
100% Corpus,3,0.01,0.9099999999999999,0.43231873623462214
100% Corpus,3,0.01,symmetric,0.43960229449112087
100% Corpus,3,0.31,0.01,0.4325141404553157
100% Corpus,3,0.31,0.31,0.4253635274078296
100% Corpus,3,0.31,0.61,0.43695593279120987
100% Corpus,3,0.31,0.9099999999999999,0.43189473149078744
100% Corpus,3,0.31,symmetric,0.4342298647368981
100% Corpus,3,0.61,0.01,0.4359342532093571
100% Corpus,3,0.61,0.31,0.4273204838386461
100% Corpus,3,0.61,0.61,0.4260051485438521
100% Corpus,3,0.61,0.9099999999999999,0.43069207526569925
100% Corpus,3,0.61,symmetric,0.4343345590818566
100% Corpus,3,0.9099999999999999,0.01,0.43198273847269214
100% Corpus,3,0.9099999999999999,0.31,0.44857588740131565
100% Corpus,3,0.9099999999999999,0.61,0.43568793395377853
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4402999191287635
100% Corpus,3,0.9099999999999999,symmetric,0.4319690514808145
100% Corpus,3,symmetric,0.01,0.4400394245425532
100% Corpus,3,symmetric,0.31,0.43667058426324695
100% Corpus,3,symmetric,0.61,0.4262022614360079
100% Corpus,3,symmetric,0.9099999999999999,0.4204006417834636
100% Corpus,3,symmetric,symmetric,0.4392609518682659
100% Corpus,4,0.01,0.01,0.43079328472429473
100% Corpus,4,0.01,0.31,0.4358680125629585
100% Corpus,4,0.01,0.61,0.4228519924555526
100% Corpus,4,0.01,0.9099999999999999,0.42189442174353203
100% Corpus,4,0.01,symmetric,0.4385190524464372
100% Corpus,4,0.31,0.01,0.4401984094614483
100% Corpus,4,0.31,0.31,0.431954596876956
100% Corpus,4,0.31,0.61,0.4275425586030396
100% Corpus,4,0.31,0.9099999999999999,0.4267712141704034
100% Corpus,4,0.31,symmetric,0.42722351013903676
100% Corpus,4,0.61,0.01,0.4382153576354443
100% Corpus,4,0.61,0.31,0.4458125320843823
100% Corpus,4,0.61,0.61,0.43157111134288284
